"State","District","Crop","Season","Area-2023-24","Production-2023-24","Yield-2023-24"
"Andhra Pradesh","Anantapur","Nutri/Coarse Cereals","Kharif","0.29","1.04","3554.00"
"Andhra Pradesh","Anantapur","Nutri/Coarse Cereals","Rabi","0.13","0.49","3694.00"
"Andhra Pradesh","Anantapur","Nutri/Coarse Cereals","Total","0.43","1.53","3598.00"
"Andhra Pradesh","Anantapur","Cereals","Kharif","0.51","1.83","3564.00"
"Andhra Pradesh","Anantapur","Cereals","Rabi","0.16","0.58","3547.00"
"Andhra Pradesh","Anantapur","Cereals","Total","0.68","2.41","3560.00"
"Andhra Pradesh","Anantapur","Tur","Kharif","0.60","0.10","166.00"
"Andhra Pradesh","Anantapur","Tur","Total","0.60","0.10","166.00"
"Andhra Pradesh","Anantapur","Gram","Rabi","0.49","0.24","492.00"
"Andhra Pradesh","Anantapur","Gram","Total","0.49","0.24","492.00"
"Andhra Pradesh","Anantapur","Urad","Kharif","0.00","0.00","816.00"
"Andhra Pradesh","Anantapur","Urad","Rabi","0.01","0.01","873.00"
"Andhra Pradesh","Anantapur","Urad","Total","0.01","0.01","853.00"
"Andhra Pradesh","Anantapur","Moong","Kharif","0.00","0.00","180.00"
"Andhra Pradesh","Anantapur","Moong","Rabi","0.00","0.00","237.00"
"Andhra Pradesh","Anantapur","Moong","Total","0.01","0.00","211.00"
"Andhra Pradesh","Anantapur","Other Pulses","Kharif","0.02","0.01","318.00"
"Andhra Pradesh","Anantapur","Other Pulses","Rabi","0.02","0.01","554.00"
"Andhra Pradesh","Anantapur","Other Pulses","Total","0.04","0.02","450.00"
"Andhra Pradesh","Anantapur","Total Pulses","Total","1.15","0.37","322.00"
"Andhra Pradesh","Anantapur","Total Food Grains","Kharif","1.13","1.93","1705.00"
"Andhra Pradesh","Anantapur","Total Food Grains","Rabi","0.69","0.85","1224.00"
"Andhra Pradesh","Anantapur","Total Food Grains","Total","1.82","2.78","1523.00"
"Andhra Pradesh","Annamayya","Rice","Kharif","0.09","0.33","3502.00"
"Andhra Pradesh","Annamayya","Rice","Rabi","0.03","0.10","3287.00"
"Andhra Pradesh","Annamayya","Rice","Total","0.13","0.44","3448.00"
"Andhra Pradesh","Annamayya","Maize","Kharif","0.02","0.11","5481.00"
"Andhra Pradesh","Annamayya","Maize","Rabi","0.01","0.05","6358.00"
"Andhra Pradesh","Annamayya","Maize","Total","0.03","0.16","5707.00"
"Andhra Pradesh","Annamayya","Jowar","Kharif","0.00","0.00","1416.00"
"Andhra Pradesh","Annamayya","Jowar","Rabi","0.00","0.00","2338.00"
"Andhra Pradesh","Annamayya","Jowar","Total","0.00","0.00","2219.00"
"Andhra Pradesh","Annamayya","Bajra","Kharif","0.00","0.00","2118.00"
"Andhra Pradesh","Annamayya","Bajra","Total","0.00","0.00","2118.00"
"Andhra Pradesh","Annamayya","Ragi","Kharif","0.00","0.01","2774.00"
"Andhra Pradesh","Annamayya","Ragi","Total","0.00","0.01","2774.00"
"Andhra Pradesh","Annamayya","Small Millets","Kharif","0.00","0.00","621.00"
"Andhra Pradesh","Annamayya","Small Millets","Total","0.00","0.00","621.00"
"Andhra Pradesh","Annamayya","Shree Anna /Nutri Cereals","Kharif","0.00","0.01","2401.00"
"Andhra Pradesh","Annamayya","Shree Anna /Nutri Cereals","Rabi","0.00","0.00","2338.00"
"Andhra Pradesh","Annamayya","Shree Anna /Nutri Cereals","Total","0.00","0.01","2398.00"
"Andhra Pradesh","Annamayya","Nutri/Coarse Cereals","Kharif","0.03","0.12","4909.00"
"Andhra Pradesh","Annamayya","Nutri/Coarse Cereals","Rabi","0.01","0.05","6212.00"
"Andhra Pradesh","Annamayya","Nutri/Coarse Cereals","Total","0.03","0.17","5205.00"
"Andhra Pradesh","Annamayya","Cereals","Kharif","0.12","0.46","3798.00"
"Andhra Pradesh","Annamayya","Cereals","Rabi","0.04","0.15","3840.00"
"Andhra Pradesh","Annamayya","Cereals","Total","0.16","0.61","3809.00"
"Andhra Pradesh","Annamayya","Tur","Kharif","0.00","0.00","188.00"
"Andhra Pradesh","Annamayya","Tur","Total","0.00","0.00","188.00"
"Andhra Pradesh","Annamayya","Gram","Rabi","0.00","0.00","706.00"
"Andhra Pradesh","Annamayya","Gram","Total","0.00","0.00","706.00"
"Andhra Pradesh","Annamayya","Urad","Kharif","0.00","0.00","816.00"
"Andhra Pradesh","Annamayya","Urad","Rabi","0.00","0.00","873.00"
"Andhra Pradesh","Annamayya","Urad","Total","0.00","0.00","865.00"
"Andhra Pradesh","Annamayya","Moong","Kharif","0.00","0.00","358.00"
"Andhra Pradesh","Annamayya","Moong","Rabi","0.00","0.00","568.00"
"Andhra Pradesh","Annamayya","Moong","Total","0.00","0.00","546.00"
"Andhra Pradesh","Annamayya","Other Pulses","Kharif","0.01","0.00","510.00"
"Andhra Pradesh","Annamayya","Other Pulses","Rabi","0.04","0.02","455.00"
"Andhra Pradesh","Annamayya","Other Pulses","Total","0.04","0.02","462.00"
"Andhra Pradesh","Annamayya","Total Pulses","Total","0.05","0.02","444.00"
"Andhra Pradesh","Annamayya","Total Food Grains","Kharif","0.13","0.46","3551.00"
"Andhra Pradesh","Annamayya","Total Food Grains","Rabi","0.08","0.17","2196.00"
"Andhra Pradesh","Annamayya","Total Food Grains","Total","0.21","0.63","3047.00"
"Andhra Pradesh","Bapatla","Rice","Kharif","0.86","2.98","3466.00"
"Andhra Pradesh","Bapatla","Rice","Rabi","0.07","0.21","3160.00"
"Andhra Pradesh","Bapatla","Rice","Total","0.93","3.19","3444.00"
"Andhra Pradesh","Bapatla","Maize","Kharif","0.01","0.04","4495.00"
"Andhra Pradesh","Bapatla","Maize","Rabi","0.19","1.62","8732.00"
"Andhra Pradesh","Bapatla","Maize","Total","0.20","1.66","8518.00"
"Andhra Pradesh","Bapatla","Jowar","Kharif","0.00","0.00","1416.00"
"Andhra Pradesh","Bapatla","Jowar","Rabi","0.09","0.52","6036.00"
"Andhra Pradesh","Bapatla","Jowar","Total","0.09","0.52","6033.00"
"Andhra Pradesh","Bapatla","Bajra","Kharif","0.00","0.00","2029.00"
"Andhra Pradesh","Bapatla","Bajra","Total","0.00","0.00","2029.00"
"Andhra Pradesh","Bapatla","Shree Anna /Nutri Cereals","Kharif","0.00","0.00","1891.00"
"Andhra Pradesh","Bapatla","Shree Anna /Nutri Cereals","Rabi","0.09","0.52","6036.00"
"Andhra Pradesh","Bapatla","Shree Anna /Nutri Cereals","Total","0.09","0.52","6022.00"
"Andhra Pradesh","Bapatla","Nutri/Coarse Cereals","Kharif","0.01","0.04","4416.00"
"Andhra Pradesh","Bapatla","Nutri/Coarse Cereals","Rabi","0.27","2.14","7881.00"
"Andhra Pradesh","Bapatla","Nutri/Coarse Cereals","Total","0.28","2.18","7756.00"
"Andhra Pradesh","Bapatla","Cereals","Kharif","0.87","3.02","3477.00"
"Andhra Pradesh","Bapatla","Cereals","Rabi","0.34","2.34","6955.00"
"Andhra Pradesh","Bapatla","Cereals","Total","1.21","5.37","4449.00"
"Andhra Pradesh","Bapatla","Tur","Kharif","0.02","0.01","816.00"
"Andhra Pradesh","Bapatla","Tur","Total","0.02","0.01","816.00"
"Andhra Pradesh","Bapatla","Gram","Rabi","0.27","0.45","1662.00"
"Andhra Pradesh","Bapatla","Gram","Total","0.27","0.45","1662.00"
"Andhra Pradesh","Bapatla","Urad","Kharif","0.02","0.03","1195.00"
"Andhra Pradesh","Bapatla","Urad","Rabi","0.25","0.33","1317.00"
"Andhra Pradesh","Bapatla","Urad","Total","0.27","0.35","1306.00"
"Andhra Pradesh","Bapatla","Moong","Kharif","0.00","0.00","901.00"
"Andhra Pradesh","Bapatla","Moong","Rabi","0.10","0.13","1340.00"
"Andhra Pradesh","Bapatla","Moong","Total","0.10","0.13","1335.00"
"Andhra Pradesh","Bapatla","Other Pulses","Kharif","0.00","0.00","608.00"
"Andhra Pradesh","Bapatla","Other Pulses","Rabi","0.00","0.00","781.00"
"Andhra Pradesh","Bapatla","Other Pulses","Total","0.00","0.00","746.00"
"Andhra Pradesh","Bapatla","Total Pulses","Total","0.66","0.95","1444.00"
"Andhra Pradesh","Bapatla","Total Food Grains","Kharif","0.91","3.06","3366.00"
"Andhra Pradesh","Bapatla","Total Food Grains","Rabi","0.95","3.25","3414.00"
"Andhra Pradesh","Bapatla","Total Food Grains","Total","1.86","6.31","3390.00"
"Andhra Pradesh","Chittoor","Rice","Kharif","0.08","0.30","3719.00"
"Andhra Pradesh","Chittoor","Rice","Rabi","0.07","0.27","3637.00"
"Andhra Pradesh","Chittoor","Rice","Total","0.16","0.58","3680.00"
"Andhra Pradesh","Chittoor","Maize","Kharif","0.00","0.03","7102.00"
"Andhra Pradesh","Chittoor","Maize","Rabi","0.00","0.02","6152.00"
"Andhra Pradesh","Chittoor","Maize","Total","0.01","0.05","6660.00"
"Andhra Pradesh","Chittoor","Jowar","Kharif","0.00","0.00","1416.00"
"Andhra Pradesh","Chittoor","Jowar","Rabi","0.00","0.00","2338.00"
"Andhra Pradesh","Chittoor","Jowar","Total","0.00","0.00","1589.00"
"Andhra Pradesh","Chittoor","Bajra","Kharif","0.01","0.01","2118.00"
"Andhra Pradesh","Chittoor","Bajra","Total","0.01","0.01","2118.00"
"Andhra Pradesh","Chittoor","Ragi","Kharif","0.01","0.02","1693.00"
"Andhra Pradesh","Chittoor","Ragi","Total","0.01","0.02","1693.00"
"Andhra Pradesh","Chittoor","Small Millets","Kharif","0.00","0.00","511.00"
"Andhra Pradesh","Chittoor","Small Millets","Total","0.00","0.00","511.00"
"Andhra Pradesh","Chittoor","Shree Anna /Nutri Cereals","Kharif","0.02","0.03","1756.00"
"Andhra Pradesh","Chittoor","Shree Anna /Nutri Cereals","Rabi","0.00","0.00","2338.00"
"Andhra Pradesh","Chittoor","Shree Anna /Nutri Cereals","Total","0.02","0.03","1758.00"
"Andhra Pradesh","Chittoor","Nutri/Coarse Cereals","Kharif","0.02","0.06","2728.00"
"Andhra Pradesh","Chittoor","Nutri/Coarse Cereals","Rabi","0.00","0.02","6086.00"
"Andhra Pradesh","Chittoor","Nutri/Coarse Cereals","Total","0.03","0.08","3194.00"
"Andhra Pradesh","Chittoor","Cereals","Kharif","0.10","0.36","3511.00"
"Andhra Pradesh","Chittoor","Cereals","Rabi","0.08","0.29","3746.00"
"Andhra Pradesh","Chittoor","Cereals","Total","0.18","0.66","3613.00"
"Andhra Pradesh","Chittoor","Tur","Kharif","0.01","0.00","301.00"
"Andhra Pradesh","Chittoor","Tur","Total","0.01","0.00","301.00"
"Andhra Pradesh","Chittoor","Gram","Rabi","0.00","0.00","706.00"
"Andhra Pradesh","Chittoor","Gram","Total","0.00","0.00","706.00"
"Andhra Pradesh","Chittoor","Urad","Kharif","0.00","0.00","816.00"
"Andhra Pradesh","Chittoor","Urad","Rabi","0.00","0.00","851.00"
"Andhra Pradesh","Chittoor","Urad","Total","0.00","0.00","848.00"
"Andhra Pradesh","Chittoor","Moong","Kharif","0.00","0.00","358.00"
"Andhra Pradesh","Chittoor","Moong","Rabi","0.00","0.00","568.00"
"Andhra Pradesh","Chittoor","Moong","Total","0.00","0.00","464.00"
"Andhra Pradesh","Chittoor","Other Pulses","Kharif","0.02","0.01","357.00"
"Andhra Pradesh","Chittoor","Other Pulses","Rabi","0.05","0.03","597.00"
"Andhra Pradesh","Chittoor","Other Pulses","Total","0.07","0.04","537.00"
"Andhra Pradesh","Chittoor","Total Pulses","Total","0.08","0.04","538.00"
"Andhra Pradesh","Chittoor","Total Food Grains","Kharif","0.13","0.37","2912.00"
"Andhra Pradesh","Chittoor","Total Food Grains","Rabi","0.14","0.33","2409.00"
"Andhra Pradesh","Chittoor","Total Food Grains","Total","0.26","0.70","2652.00"
"Andhra Pradesh","Dr. B.R. Ambedkar Konaseema","Rice","Kharif","0.64","2.26","3518.00"
"Andhra Pradesh","Dr. B.R. Ambedkar Konaseema","Rice","Rabi","0.69","3.49","5083.00"
"Andhra Pradesh","Dr. B.R. Ambedkar Konaseema","Rice","Total","1.33","5.75","4326.00"
"Andhra Pradesh","Dr. B.R. Ambedkar Konaseema","Maize","Kharif","0.00","0.00","4695.00"
"Andhra Pradesh","Dr. B.R. Ambedkar Konaseema","Maize","Rabi","0.01","0.07","9299.00"
"Andhra Pradesh","Dr. B.R. Ambedkar Konaseema","Maize","Total","0.01","0.07","9293.00"
"Andhra Pradesh","Dr. B.R. Ambedkar Konaseema","Nutri/Coarse Cereals","Kharif","0.00","0.00","4695.00"
"Andhra Pradesh","Dr. B.R. Ambedkar Konaseema","Nutri/Coarse Cereals","Rabi","0.01","0.07","9299.00"
"Andhra Pradesh","Dr. B.R. Ambedkar Konaseema","Nutri/Coarse Cereals","Total","0.01","0.07","9293.00"
"Andhra Pradesh","Dr. B.R. Ambedkar Konaseema","Cereals","Kharif","0.64","2.26","3518.00"
"Andhra Pradesh","Dr. B.R. Ambedkar Konaseema","Cereals","Rabi","0.69","3.56","5129.00"
"Andhra Pradesh","Dr. B.R. Ambedkar Konaseema","Cereals","Total","1.34","5.82","4354.00"
"Andhra Pradesh","Dr. B.R. Ambedkar Konaseema","Tur","Kharif","0.00","0.00","606.00"
"Andhra Pradesh","Dr. B.R. Ambedkar Konaseema","Tur","Total","0.00","0.00","606.00"
"Andhra Pradesh","Dr. B.R. Ambedkar Konaseema","Urad","Rabi","0.00","0.00","476.00"
"Andhra Pradesh","Dr. B.R. Ambedkar Konaseema","Urad","Total","0.00","0.00","476.00"
"Andhra Pradesh","Dr. B.R. Ambedkar Konaseema","Moong","Rabi","0.00","0.00","1185.00"
"Andhra Pradesh","Dr. B.R. Ambedkar Konaseema","Moong","Total","0.00","0.00","1185.00"
"Andhra Pradesh","Dr. B.R. Ambedkar Konaseema","Total Pulses","Total","0.00","0.00","673.00"
"Andhra Pradesh","Dr. B.R. Ambedkar Konaseema","Total Food Grains","Kharif","0.64","2.26","3516.00"
"Andhra Pradesh","Dr. B.R. Ambedkar Konaseema","Total Food Grains","Rabi","0.70","3.56","5121.00"
"Andhra Pradesh","Dr. B.R. Ambedkar Konaseema","Total Food Grains","Total","1.34","5.83","4350.00"
"Andhra Pradesh","East Godavari","Rice","Kharif","0.72","2.98","4166.00"
"Andhra Pradesh","East Godavari","Rice","Rabi","0.56","2.94","5260.00"
"Andhra Pradesh","East Godavari","Rice","Total","1.27","5.92","4646.00"
"Andhra Pradesh","East Godavari","Maize","Kharif","0.00","0.00","4695.00"
"Andhra Pradesh","East Godavari","Maize","Rabi","0.08","0.80","10162.00"
"Andhra Pradesh","East Godavari","Maize","Total","0.08","0.80","10151.00"
"Andhra Pradesh","East Godavari","Jowar","Rabi","0.00","0.01","5370.00"
"Andhra Pradesh","East Godavari","Jowar","Total","0.00","0.01","5370.00"
"Andhra Pradesh","East Godavari","Shree Anna /Nutri Cereals","Rabi","0.00","0.01","5370.00"
"Andhra Pradesh","East Godavari","Shree Anna /Nutri Cereals","Total","0.00","0.01","5370.00"
"Andhra Pradesh","East Godavari","Nutri/Coarse Cereals","Kharif","0.00","0.00","4695.00"
"Andhra Pradesh","East Godavari","Nutri/Coarse Cereals","Rabi","0.08","0.81","10002.00"
"Andhra Pradesh","East Godavari","Nutri/Coarse Cereals","Total","0.08","0.81","9992.00"
"Andhra Pradesh","East Godavari","Cereals","Kharif","0.72","2.98","4166.00"
"Andhra Pradesh","East Godavari","Cereals","Rabi","0.64","3.76","5862.00"
"Andhra Pradesh","East Godavari","Cereals","Total","1.36","6.74","4967.00"
"Andhra Pradesh","East Godavari","Tur","Kharif","0.00","0.00","606.00"
"Andhra Pradesh","East Godavari","Tur","Total","0.00","0.00","606.00"
"Andhra Pradesh","East Godavari","Gram","Rabi","0.01","0.01","1854.00"
